ensemble,Δx,compressor,metric,mean_boot,ci_low,ci_high,n
blobs40,0.001,bz2,r_PhI,0.2961557293094818,0.23333700780654543,0.35824099004358195,50
blobs40,0.001,bz2,r_PhIIa,-0.9874005530401968,-0.9885682885199335,-0.9862894066621046,50
blobs40,0.001,bz2,r_PhIIb,-0.9860283085845318,-0.9873381543857322,-0.9846806333995316,50
blobs40,0.001,bz2,r_Rg,0.9834660436151875,0.9816051099311482,0.9852096839977855,50
blobs40,0.001,bz2,r_NND,0.9677709332175738,0.9634977001217762,0.9714316572348849,50
blobs40,0.001,bz2,r_Var,0.968053370496106,0.96348765890843,0.9721151723172312,50
blobs40,0.001,gzip,r_PhI,0.40804224849829035,0.33046815595622353,0.48706769556390095,50
blobs40,0.001,gzip,r_PhIIa,-0.9931745523771234,-0.9938786746968494,-0.992427767312203,50
blobs40,0.001,gzip,r_PhIIb,-0.991885202598054,-0.9930778327811576,-0.9902691556768337,50
blobs40,0.001,gzip,r_Rg,0.9866816609617836,0.9847901494879838,0.9882903575408558,50
blobs40,0.001,gzip,r_NND,0.9684516926426737,0.963856555076261,0.9727996000470877,50
blobs40,0.001,gzip,r_Var,0.9689092605009055,0.9636150021260111,0.9733308126566284,50
blobs40,0.001,lzma,r_PhI,0.21957209064012853,0.13448933418858386,0.302717908194803,50
blobs40,0.001,lzma,r_PhIIa,-0.9852671800609383,-0.9877108206343267,-0.9819250004384291,50
blobs40,0.001,lzma,r_PhIIb,-0.9668672989526716,-0.9712988464079229,-0.9618502690221975,50
blobs40,0.001,lzma,r_Rg,0.9789390367862915,0.9757870412981569,0.9818160808450747,50
blobs40,0.001,lzma,r_NND,0.9610575798219724,0.9561020905492453,0.9655264567495225,50
blobs40,0.001,lzma,r_Var,0.9613706445508783,0.9557632230160614,0.9659899277881098,50
blobs40,0.001,none,r_PhI,0.0,0.0,0.0,50
blobs40,0.001,none,r_PhIIa,0.0,0.0,0.0,50
blobs40,0.001,none,r_PhIIb,0.0,0.0,0.0,50
blobs40,0.001,none,r_Rg,0.0,0.0,0.0,50
blobs40,0.001,none,r_NND,0.0,0.0,0.0,50
blobs40,0.001,none,r_Var,0.0,0.0,0.0,50
blobs40,0.001,zstd,r_PhI,0.19009575627518335,0.10201795600585797,0.26997054637645673,50
blobs40,0.001,zstd,r_PhIIa,-0.9939604008144866,-0.9944654811541451,-0.9934050071444852,50
blobs40,0.001,zstd,r_PhIIb,-0.9940071574678658,-0.9945364081706167,-0.9935016776334,50
blobs40,0.001,zstd,r_Rg,0.9875965604741139,0.9859700450797706,0.9889920430113821,50
blobs40,0.001,zstd,r_NND,0.9691954854433961,0.9647701096084905,0.9732797412153272,50
blobs40,0.001,zstd,r_Var,0.9699036651362078,0.965475217652536,0.9737573139447726,50
blobs40,0.01,bz2,r_PhI,0.2961557293094818,0.23602118128427838,0.3612144806205699,50
blobs40,0.01,bz2,r_PhIIa,-0.9745238908302958,-0.9767439405212245,-0.9723328869326499,50
blobs40,0.01,bz2,r_PhIIb,-0.974626455844837,-0.9767818246883381,-0.9723413329338739,50
blobs40,0.01,bz2,r_Rg,0.9696547448427857,0.9667502103688751,0.9724261755809527,50
blobs40,0.01,bz2,r_NND,0.9533160302388264,0.9481867185846086,0.9581314983599634,50
blobs40,0.01,bz2,r_Var,0.9535399054574499,0.9483304897248135,0.9586651466007254,50
blobs40,0.01,gzip,r_PhI,0.40804224849829035,0.32587751966147166,0.48288693399821386,50
blobs40,0.01,gzip,r_PhIIa,-0.9918789046049866,-0.9936391980508966,-0.9899895367785462,50
blobs40,0.01,gzip,r_PhIIb,-0.9910075752561249,-0.9927586188863677,-0.9890981020400802,50
blobs40,0.01,gzip,r_Rg,0.9891456194526763,0.9870934771898027,0.9910054008107793,50
blobs40,0.01,gzip,r_NND,0.9743407769131851,0.9700303647409496,0.9783955510647143,50
blobs40,0.01,gzip,r_Var,0.9747387673789195,0.9708269032354627,0.9787875635083603,50
blobs40,0.01,lzma,r_PhI,0.21957209064012853,0.13612527296992546,0.29545098617391014,50
blobs40,0.01,lzma,r_PhIIa,-0.9900871036206255,-0.9914156029226002,-0.9886416967301421,50
blobs40,0.01,lzma,r_PhIIb,-0.9840056833187778,-0.985573206541784,-0.9824898815667148,50
blobs40,0.01,lzma,r_Rg,0.9867983861176104,0.9848097992534094,0.9886889897289547,50
blobs40,0.01,lzma,r_NND,0.9716928370044016,0.9671996839079349,0.976001820170628,50
blobs40,0.01,lzma,r_Var,0.9718942794266223,0.9674657717691522,0.9763144567067816,50
blobs40,0.01,none,r_PhI,0.0,0.0,0.0,50
blobs40,0.01,none,r_PhIIa,0.0,0.0,0.0,50
blobs40,0.01,none,r_PhIIb,0.0,0.0,0.0,50
blobs40,0.01,none,r_Rg,0.0,0.0,0.0,50
blobs40,0.01,none,r_NND,0.0,0.0,0.0,50
blobs40,0.01,none,r_Var,0.0,0.0,0.0,50
blobs40,0.01,zstd,r_PhI,0.19009575627518335,0.1096950022692496,0.27068411055054514,50
blobs40,0.01,zstd,r_PhIIa,-0.9955660637279312,-0.9960396651995841,-0.9950877960398005,50
blobs40,0.01,zstd,r_PhIIb,-0.9955766281202,-0.996012400977685,-0.9950927539492206,50
blobs40,0.01,zstd,r_Rg,0.991558230217492,0.9902645314338363,0.9927767921314395,50
blobs40,0.01,zstd,r_NND,0.9754740279011626,0.9718499178972319,0.9790826346660857,50
blobs40,0.01,zstd,r_Var,0.9760282162657543,0.9721621048301523,0.9797402743748951,50
blobs40,0.1,bz2,r_PhI,0.2961557293094818,0.23253515594268578,0.35563515673071333,50
blobs40,0.1,bz2,r_PhIIa,-0.9933424291994626,-0.9939794032987183,-0.9926969283673532,50
blobs40,0.1,bz2,r_PhIIb,-0.9928204609738597,-0.9935629391487224,-0.9920067606690636,50
blobs40,0.1,bz2,r_Rg,0.9879280337291886,0.9859646915434895,0.9896773223597057,50
blobs40,0.1,bz2,r_NND,0.9707489837236344,0.9663254806190067,0.9748896376836375,50
blobs40,0.1,bz2,r_Var,0.9711794508856567,0.9655357802204778,0.9757302421404975,50
blobs40,0.1,gzip,r_PhI,0.40804224849829035,0.3247185641419217,0.48080916471722657,50
blobs40,0.1,gzip,r_PhIIa,-0.997423418318146,-0.9976968391299522,-0.9971161471015423,50
blobs40,0.1,gzip,r_PhIIb,-0.9968959749688854,-0.9972093209080116,-0.9965698000565378,50
blobs40,0.1,gzip,r_Rg,0.9910926652460854,0.9896243786098482,0.9923945402918108,50
blobs40,0.1,gzip,r_NND,0.9729463346426515,0.9687278959535719,0.976759225419586,50
blobs40,0.1,gzip,r_Var,0.973405885960584,0.9687423773019093,0.9775090385664114,50
blobs40,0.1,lzma,r_PhI,0.21957209064012853,0.1374423784209631,0.2970173496713577,50
blobs40,0.1,lzma,r_PhIIa,-0.985151272391364,-0.9870012588487107,-0.983237984245266,50
blobs40,0.1,lzma,r_PhIIb,-0.9805929422072769,-0.982305323294806,-0.978806735460868,50
blobs40,0.1,lzma,r_Rg,0.9787379644957762,0.9758840315601512,0.9816992718215578,50
blobs40,0.1,lzma,r_NND,0.9604686477091056,0.9546348195596043,0.9662621837227331,50
blobs40,0.1,lzma,r_Var,0.9611543433441845,0.9549532396784668,0.9669684376332521,50
blobs40,0.1,none,r_PhI,0.0,0.0,0.0,50
blobs40,0.1,none,r_PhIIa,0.0,0.0,0.0,50
blobs40,0.1,none,r_PhIIb,0.0,0.0,0.0,50
blobs40,0.1,none,r_Rg,0.0,0.0,0.0,50
