,,,seed,seed,n_eff,n_eff,r_PhI,r_PhI,r_PhIIa,r_PhIIa,r_PhIIb,r_PhIIb,r_Rg,r_Rg,r_NND,r_NND,r_Var,r_Var
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ensemble,Δx,compressor,,,,,,,,,,,,,,,,
uniform40,0.01,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform40,0.01,zstd,24.5,14.577,21.0,0.0,0.204,0.289,-0.991,0.003,-0.991,0.004,0.85,0.021,0.812,0.021,0.673,0.028
uniform40,0.1,bz2,24.5,14.577,21.0,0.0,0.324,0.217,-0.99,0.004,-0.989,0.004,0.854,0.024,0.816,0.025,0.675,0.032
uniform40,0.1,gzip,24.5,14.577,21.0,0.0,0.428,0.221,-0.989,0.004,-0.988,0.003,0.872,0.02,0.836,0.021,0.701,0.028
uniform40,0.1,lzma,24.5,14.577,21.0,0.0,0.429,0.228,-0.978,0.008,-0.973,0.01,0.793,0.041,0.751,0.042,0.6,0.053
uniform40,0.1,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform40,0.1,zstd,24.5,14.577,21.0,0.0,0.204,0.289,-0.995,0.004,-0.994,0.004,0.832,0.024,0.792,0.024,0.644,0.031
uniform400,0.001,bz2,24.5,14.577,21.0,0.0,0.139,0.269,-0.999,0.0,-0.999,0.0,0.996,0.001,0.98,0.003,0.988,0.002
uniform400,0.001,gzip,24.5,14.577,21.0,0.0,0.164,0.249,-1.0,0.0,-1.0,0.0,0.998,0.001,0.981,0.003,0.99,0.002
uniform400,0.001,lzma,24.5,14.577,21.0,0.0,0.436,0.288,-0.998,0.005,-0.999,0.002,0.995,0.006,0.978,0.008,0.986,0.007
uniform400,0.001,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform400,0.001,zstd,24.5,14.577,21.0,0.0,0.128,0.409,-1.0,0.0,-1.0,0.0,0.997,0.001,0.979,0.003,0.988,0.002
uniform400,0.01,bz2,24.5,14.577,21.0,0.0,0.139,0.269,-0.998,0.001,-0.998,0.001,0.996,0.001,0.981,0.003,0.989,0.002
uniform400,0.01,gzip,24.5,14.577,21.0,0.0,0.164,0.249,-1.0,0.0,-1.0,0.0,0.998,0.0,0.982,0.003,0.99,0.002
uniform400,0.01,lzma,24.5,14.577,21.0,0.0,0.436,0.288,-1.0,0.0,-1.0,0.0,0.997,0.001,0.981,0.003,0.989,0.002
uniform400,0.01,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform400,0.01,zstd,24.5,14.577,21.0,0.0,0.128,0.409,-1.0,0.0,-1.0,0.0,0.998,0.001,0.982,0.003,0.99,0.002
uniform400,0.1,bz2,24.5,14.577,21.0,0.0,0.139,0.269,-0.998,0.001,-0.998,0.001,0.996,0.002,0.981,0.005,0.989,0.004
uniform400,0.1,gzip,24.5,14.577,21.0,0.0,0.164,0.249,-1.0,0.0,-1.0,0.0,0.998,0.001,0.982,0.003,0.99,0.002
uniform400,0.1,lzma,24.5,14.577,21.0,0.0,0.436,0.288,-0.999,0.0,-0.999,0.0,0.998,0.001,0.983,0.003,0.991,0.002
uniform400,0.1,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform400,0.1,zstd,24.5,14.577,21.0,0.0,0.128,0.409,-0.999,0.0,-0.999,0.0,0.998,0.001,0.983,0.003,0.991,0.002
