seed,ensemble,Δx,compressor,n_eff,r_PhI,r_PhIIa,r_PhIIb,r_Rg,r_NND,r_Var
0,uniform40,0.1,gzip,21,0.39813490332043044,-0.98297877079979,-0.9874874117200187,0.8764153246123536,0.8518801863626101,0.7150606515380035
0,uniform40,0.01,gzip,21,0.39813490332043044,-0.9643635289755004,-0.9714457779629255,0.8901640210912202,0.8683245780401959,0.7406624575813213
0,uniform40,0.001,gzip,21,0.39813490332043044,-0.9303292371309043,-0.9331244095319972,0.8178933392636127,0.7972391030768566,0.6445211552197241
0,uniform40,0.1,bz2,21,0.22026463340738717,-0.9865964297100598,-0.9868826996132846,0.8597972996295657,0.8345160967565424,0.6885892758742596
0,uniform40,0.01,bz2,21,0.22026463340738717,-0.9482915699840746,-0.9532399245441849,0.9120194124703037,0.8928903289386855,0.7738092176005386
0,uniform40,0.001,bz2,21,0.22026463340738717,-0.9665792322806539,-0.9562467953739368,0.8756795781287686,0.8543543023455602,0.7119838800439624
0,uniform40,0.1,lzma,21,0.44854406682455455,-0.9676521296249502,-0.9816664952242408,0.7769861226111865,0.7475779731284709,0.595844903318727
0,uniform40,0.01,lzma,21,0.44854406682455455,-0.9286922829195463,-0.9339226699843249,0.9451135092369517,0.9305114885897099,0.8230175928745822
0,uniform40,0.001,lzma,21,0.44854406682455455,-0.9861318307768832,-0.9440734360414949,0.7501608683553207,0.7186756460661082,0.5435313879274972
0,uniform40,0.1,zstd,21,0.0023869204800141116,-0.9955949642207239,-0.9908314600442727,0.8156326263740583,0.7868648953408808,0.625787099185993
0,uniform40,0.01,zstd,21,0.0023869204800141116,-0.9833406285338435,-0.9856915466279338,0.831099031805602,0.8038881541289796,0.6559974045985824
0,uniform40,0.001,zstd,21,0.0023869204800141116,-0.9828856301600886,-0.9849866509096249,0.8209229462056868,0.7944769241980123,0.6341274135830882
0,uniform40,0.1,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,uniform40,0.01,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,uniform40,0.001,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,lattice40,0.1,gzip,21,0.6128628710771707,-0.9770997388767338,-0.9642971858155337,0.8695723781313874,0.8650684618807248,0.7166037147476099
0,lattice40,0.01,gzip,21,0.6128628710771707,-0.9828280756811222,-0.9862220323118742,0.7851932279443877,0.779742258781354,0.6046072149508076
0,lattice40,0.001,gzip,21,0.6128628710771707,-0.7847900129812659,-0.7883470080358321,0.8893432553427698,0.8876479258830309,0.8247791680559127
0,lattice40,0.1,bz2,21,0.8650078639623884,-0.9530016509723757,-0.9634965116791263,0.8991623784876184,0.895335510509493,0.7589543177667755
0,lattice40,0.01,bz2,21,0.8650078639623884,-0.9456805833447841,-0.9469765744165219,0.906713456568598,0.9031519321183797,0.7745884719861037
0,lattice40,0.001,bz2,21,0.8650078639623884,-0.9129716170805577,-0.8877584635311254,0.9131625516313222,0.910040076959291,0.7961892915471365
0,lattice40,0.1,lzma,21,0.6975220190431093,-0.9645107742669773,-0.9877407817703999,0.7147093154681506,0.7087118903624889,0.5254415167051842
0,lattice40,0.01,lzma,21,0.6975220190431093,-0.8553678066514655,-0.9208134007270588,0.885235605164721,0.8829509710337424,0.7736674652362989
0,lattice40,0.001,lzma,21,0.6975220190431093,-0.9519437832026415,-0.9352546247359462,0.7174108692811286,0.7117523034177964,0.5367923554799855
0,lattice40,0.1,zstd,21,0.5489837197526272,-0.963822927378046,-0.9411283743259379,0.8917712833661121,0.8877539340392046,0.7464358175557626
0,lattice40,0.01,zstd,21,0.5489837197526272,-0.9885370617111858,-0.9882097625577161,0.8005484103724377,0.7952104359398823,0.6255876157908812
0,lattice40,0.001,zstd,21,0.5489837197526272,-0.9674764665882345,-0.9680644742716167,0.8503650060133765,0.8459221408921938,0.6914879185719259
0,lattice40,0.1,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,lattice40,0.01,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,lattice40,0.001,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,blobs40,0.1,gzip,21,0.1172607911904027,-0.9943784608449275,-0.9948731492845305,0.9960923595140581,0.992756891159527,0.9940792201715897
0,blobs40,0.01,gzip,21,0.1172607911904027,-0.9964363004984148,-0.9952852325581093,0.9937828754073709,0.9848946256600836,0.9876038504138422
0,blobs40,0.001,gzip,21,0.1172607911904027,-0.9911747632682706,-0.9907785632940114,0.9882961825732629,0.9793035436183469,0.9818964899959749
0,blobs40,0.1,bz2,21,0.11895020578446007,-0.9918103059848933,-0.9930631758448067,0.9933023586235366,0.989723535994743,0.9910903682431301
0,blobs40,0.01,bz2,21,0.11895020578446007,-0.9822855129508163,-0.9729211755382865,0.980731022443945,0.9738436909423628,0.9755685405513763
0,blobs40,0.001,bz2,21,0.11895020578446007,-0.9905880753823543,-0.9921279457780872,0.9897464345460506,0.983087337749541,0.9853320522194086
0,blobs40,0.1,lzma,21,-0.13127299650946242,-0.9913682492450875,-0.9866840704923411,0.9927728657866698,0.9889016050016624,0.9905033862750191
0,blobs40,0.01,lzma,21,-0.13127299650946242,-0.9931407156828226,-0.9906262454702343,0.993813998853222,0.9890871433606911,0.9908231212247128
0,blobs40,0.001,lzma,21,-0.13127299650946242,-0.9763003736682113,-0.9135702451519442,0.9791197015680266,0.976757329773886,0.9783034260474364
0,blobs40,0.1,zstd,21,0.02323979922576849,-0.9981180490555123,-0.9975828666437774,0.9964862549493698,0.9888767457165228,0.9912726576267024
0,blobs40,0.01,zstd,21,0.02323979922576849,-0.9969388427536319,-0.9973447826970356,0.9964688849881803,0.990186682613161,0.9923924274649042
0,blobs40,0.001,zstd,21,0.02323979922576849,-0.9963175110910135,-0.9940211032112963,0.994324310674942,0.9862691783558598,0.9887744879014527
0,blobs40,0.1,none,21,0.0,0.0,0.0,0.0,0.0,0.0
