ensemble,Δx,compressor,metric,n,mean_direct,p_value_vs_0,outlier_frac_>2sd
blobs40,0.1,bz2,r_NND,50,0.9707489837236344,1.644929235676418e-89,0.04
blobs40,0.1,bz2,r_Var,50,0.9711794508856567,6.68347300888356e-87,0.02
blobs40,0.1,gzip,r_PhI,50,0.40804224849829035,9.500284988256309e-14,0.02
blobs40,0.1,gzip,r_PhIIa,50,-0.997423418318146,2.7196206710314672e-148,0.04
blobs40,0.1,gzip,r_PhIIb,50,-0.9968959749688854,5.3431322131614935e-145,0.02
blobs40,0.1,gzip,r_Rg,50,0.9910926652460854,2.9641482340715485e-114,0.02
blobs40,0.1,gzip,r_NND,50,0.9729463346426515,7.258505981639687e-92,0.04
blobs40,0.1,gzip,r_Var,50,0.973405885960584,1.2232795741701297e-89,0.04
blobs40,0.1,lzma,r_PhI,50,0.21957209064012853,3.193149156048995e-06,0.02
blobs40,0.1,lzma,r_PhIIa,50,-0.985151272391364,4.692964812885546e-107,0.06
blobs40,0.1,lzma,r_PhIIb,50,-0.9805929422072769,2.1260316789529913e-109,0.06
blobs40,0.1,lzma,r_Rg,50,0.9787379644957762,3.86542014839338e-98,0.04
blobs40,0.1,lzma,r_NND,50,0.9604686477091056,1.882574393350897e-83,0.02
blobs40,0.1,lzma,r_Var,50,0.9611543433441845,7.064538680373376e-82,0.02
blobs40,0.1,none,r_PhI,50,0.0,,0.0
blobs40,0.1,none,r_PhIIa,50,0.0,,0.0
blobs40,0.1,none,r_PhIIb,50,0.0,,0.0
blobs40,0.1,none,r_Rg,50,0.0,,0.0
blobs40,0.1,none,r_NND,50,0.0,,0.0
blobs40,0.1,none,r_Var,50,0.0,,0.0
blobs40,0.1,zstd,r_PhI,50,0.19009575627518335,6.533884228539367e-05,0.02
blobs40,0.1,zstd,r_PhIIa,50,-0.9984003695940354,2.2479331141065138e-157,0.02
blobs40,0.1,zstd,r_PhIIb,50,-0.9979727021216075,1.526152812022647e-155,0.02
blobs40,0.1,zstd,r_Rg,50,0.9909764787183046,1.9810383182264562e-112,0.02
blobs40,0.1,zstd,r_NND,50,0.9717678188294336,2.8732257648223263e-89,0.06
blobs40,0.1,zstd,r_Var,50,0.9722912801727652,4.7542445934890826e-88,0.04
lattice40,0.001,bz2,r_PhI,50,0.7291366903772771,4.81035899324659e-44,0.04
lattice40,0.001,bz2,r_PhIIa,50,-0.9089190599733789,4.066556878696116e-79,0.06
lattice40,0.001,bz2,r_PhIIb,50,-0.9044260237754955,1.4223602557919709e-77,0.06
lattice40,0.001,bz2,r_Rg,50,0.9030818029954021,2.564764765810843e-80,0.08
lattice40,0.001,bz2,r_NND,50,0.8971207319319237,1.0361515352115732e-79,0.08
lattice40,0.001,bz2,r_Var,50,0.7858327773526942,1.19540393711952e-70,0.02
lattice40,0.001,gzip,r_PhI,50,0.5555828020167738,1.0047366545033323e-31,0.06
lattice40,0.001,gzip,r_PhIIa,50,-0.8318259549078444,1.6555948496602685e-72,0.02
lattice40,0.001,gzip,r_PhIIb,50,-0.8422810862579289,1.5817964593355132e-71,0.04
lattice40,0.001,gzip,r_Rg,50,0.9200287577567445,2.7718907968904984e-78,0.04
lattice40,0.001,gzip,r_NND,50,0.9162918286818964,7.724029420605518e-78,0.04
lattice40,0.001,gzip,r_Var,50,0.8407072521208224,3.725343186250648e-68,0.04
lattice40,0.001,lzma,r_PhI,50,0.5331623242276329,2.4069608789155837e-25,0.04
lattice40,0.001,lzma,r_PhIIa,50,-0.9687825239014299,3.407504090677856e-88,0.02
lattice40,0.001,lzma,r_PhIIb,50,-0.9524061438517468,2.742215842632851e-88,0.02
lattice40,0.001,lzma,r_Rg,50,0.7516061996184424,2.998032506061198e-63,0.06
lattice40,0.001,lzma,r_NND,50,0.7409423896282192,2.0860960235682753e-62,0.06
lattice40,0.001,lzma,r_Var,50,0.5754573430410795,8.764196563276434e-53,0.06
lattice40,0.001,none,r_PhI,50,0.0,,0.0
lattice40,0.001,none,r_PhIIa,50,0.0,,0.0
lattice40,0.001,none,r_PhIIb,50,0.0,,0.0
lattice40,0.001,none,r_Rg,50,0.0,,0.0
lattice40,0.001,none,r_NND,50,0.0,,0.0
